TRY Data Explorer Output	2020-5-28
Measurements in Region
Longitude between 140.96 and 149.5, Latitude between -44 and -42
ObservationID	ObsdataID	AccSpeciesID	AccSpeciesName	Lon	Lat	AltitudeM	SamplingDate	Trait	Dataset	FirstName	LastName	Institution	
1221538	4584204	200148	Acacia	145.3	-42.183333	2	1991-11-12	Leaf angle (inclination, orientation)	VegClass CBM Global Database	Andy	Gillison	Center for Biodiversity Management	
799215	4584178	200148	Acacia	145.3	-42.183333	2	1991-11-12	Plant functional type (PFT)	VegClass CBM Global Database	Andy	Gillison	Center for Biodiversity Management	
1254732	4584209	200148	Acacia	145.3	-42.183333	2	1991-11-12	Plant life form (Raunkiaer life form)	VegClass CBM Global Database	Andy	Gillison	Center for Biodiversity Management	
799215	4584205	200148	Acacia	145.3	-42.183333	2	1991-11-12	Leaf type	VegClass CBM Global Database	Andy	Gillison	Center for Biodiversity Management	
799215	4584208	200148	Acacia	145.3	-42.183333	2	1991-11-12	Plant woodiness	VegClass CBM Global Database	Andy	Gillison	Center for Biodiversity Management	
799215	4584203	200148	Acacia	145.3	-42.183333	2	1991-11-12	Leaf angle (inclination, orientation)	VegClass CBM Global Database	Andy	Gillison	Center for Biodiversity Management	
799215	4584207	200148	Acacia	145.3	-42.183333	2	1991-11-12	Plant life form (Raunkiaer life form)	VegClass CBM Global Database	Andy	Gillison	Center for Biodiversity Management	
799215	4584200	200148	Acacia	145.3	-42.183333	2	1991-11-12	Leaf area (in case of compound leaves: leaflet, undefined if petiole is in- or excluded)	VegClass CBM Global Database	Andy	Gillison	Center for Biodiversity Management	
1254733	4584210	200148	Acacia	145.3	-42.183333	2	1991-11-12	Plant life form (Raunkiaer life form)	VegClass CBM Global Database	Andy	Gillison	Center for Biodiversity Management	
799215	4584206	200148	Acacia	145.3	-42.183333	2	1991-11-12	Leaf phenology type	VegClass CBM Global Database	Andy	Gillison	Center for Biodiversity Management	
2668290	23680159	279	Acacia dealbata	147	-42.4			Bark thickness (outer bark)	Dataset for Rosell et al. 2017 New Phytologist	Julieta	Rosell	Universidad Nacional Autonoma de México	
2460947	20011291	279	Acacia dealbata	146.6512	-43.0888	217		Leaf respiration rate in the dark per leaf area	Global Respiration Database	Owen	Atkin	Australian National University	
2667646	23674469	279	Acacia dealbata	147	-42.4			Stem diameter	Dataset for Rosell 2016 New Phytologist	Julieta	Rosell	Universidad Nacional Autonoma de México	
2460947	20011301	279	Acacia dealbata	146.6512	-43.0888	217		Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole included	Global Respiration Database	Owen	Atkin	Australian National University	
2460947	20011280	279	Acacia dealbata	146.6512	-43.0888	217		Leaf photosynthesis: intercellular CO2 concentration	Global Respiration Database	Owen	Atkin	Australian National University	
2460947	20011294	279	Acacia dealbata	146.6512	-43.0888	217		Leaf respiration rate in the dark per leaf dry mass	Global Respiration Database	Owen	Atkin	Australian National University	
2667646	23674472	279	Acacia dealbata	147	-42.4			Bark thickness (outer bark)	Dataset for Rosell 2016 New Phytologist	Julieta	Rosell	Universidad Nacional Autonoma de México	
2460947	20011304	279	Acacia dealbata	146.6512	-43.0888	217		Leaf photosynthesis carboxylation capacity (Vcmax) per leaf dry mass (Farquhar model)	Global Respiration Database	Owen	Atkin	Australian National University	
2460947	20011271	279	Acacia dealbata	146.6512	-43.0888	217		Plant functional type (PFT)	Global Respiration Database	Owen	Atkin	Australian National University	
2668290	23680155	279	Acacia dealbata	147	-42.4			Plant growth form	Dataset for Rosell et al. 2017 New Phytologist	Julieta	Rosell	Universidad Nacional Autonoma de México	
2460947	20011285	279	Acacia dealbata	146.6512	-43.0888	217		Leaf respiration rate in the dark per leaf dry mass	Global Respiration Database	Owen	Atkin	Australian National University	
2667646	23673109	279	Acacia dealbata	147	-42.4			Stem diameter	Dataset for Rosell 2016 New Phytologist	Julieta	Rosell	Universidad Nacional Autonoma de México	
2460947	20011297	279	Acacia dealbata	146.6512	-43.0888	217		Leaf nitrogen (N) content per leaf dry mass	Global Respiration Database	Owen	Atkin	Australian National University	
2460947	50885661	279	Acacia dealbata	146.6512	-43.0888	217		Leaf photosynthesis carboxylation capacity (Vcmax) per leaf dry mass (Farquhar model)	Global Respiration Database	Owen	Atkin	Australian National University	
4523766	50625361	279	Acacia dealbata	147	-42.4			Plant woodiness	Plant Hydraulic Traits	Stefano	Manzoni	Stockholm University	
2460947	20011274	279	Acacia dealbata	146.6512	-43.0888	217		Plant functional type (PFT)	Global Respiration Database	Owen	Atkin	Australian National University	
2668290	23680158	279	Acacia dealbata	147	-42.4			Bark thickness (inner bark)	Dataset for Rosell et al. 2017 New Phytologist	Julieta	Rosell	Universidad Nacional Autonoma de México	
2460947	20011290	279	Acacia dealbata	146.6512	-43.0888	217		Leaf respiration rate in the dark per leaf area	Global Respiration Database	Owen	Atkin	Australian National University	
2667646	23673112	279	Acacia dealbata	147	-42.4			Bark thickness (outer bark)	Dataset for Rosell 2016 New Phytologist	Julieta	Rosell	Universidad Nacional Autonoma de México	
2460947	20011300	279	Acacia dealbata	146.6512	-43.0888	217		Leaf phosphorus (P) content per leaf area	Global Respiration Database	Owen	Atkin	Australian National University	
2460947	20011279	279	Acacia dealbata	146.6512	-43.0888	217		Stomata conductance per leaf area	Global Respiration Database	Owen	Atkin	Australian National University	
2460947	20011293	279	Acacia dealbata	146.6512	-43.0888	217		Leaf respiration rate in the dark per leaf area	Global Respiration Database	Owen	Atkin	Australian National University	
2667646	23674471	279	Acacia dealbata	147	-42.4			Bark thickness (inner bark)	Dataset for Rosell 2016 New Phytologist	Julieta	Rosell	Universidad Nacional Autonoma de México	
2460947	20011303	279	Acacia dealbata	146.6512	-43.0888	217		Leaf photosynthesis carboxylation capacity (Vcmax) per leaf area (Farquhar model)	Global Respiration Database	Owen	Atkin	Australian National University	
2460947	20011270	279	Acacia dealbata	146.6512	-43.0888	217		Plant functional type (PFT)	Global Respiration Database	Owen	Atkin	Australian National University	
2668290	23680154	279	Acacia dealbata	147	-42.4			Stem construction type	Dataset for Rosell et al. 2017 New Phytologist	Julieta	Rosell	Universidad Nacional Autonoma de México	
2460947	20011284	279	Acacia dealbata	146.6512	-43.0888	217		Leaf photosynthesis rate per leaf dry mass	Global Respiration Database	Owen	Atkin	Australian National University	
2460947	20011296	279	Acacia dealbata	146.6512	-43.0888	217		Leaf respiration rate in the dark per leaf dry mass	Global Respiration Database	Owen	Atkin	Australian National University	
2460947	20011306	279	Acacia dealbata	146.6512	-43.0888	217		Leaf respiration rate in the dark as fraction of photosynthetic carboxylation capacity (Vcmax)	Global Respiration Database	Owen	Atkin	Australian National University	
4523766	50625355	279	Acacia dealbata	147	-42.4			Wood (sapwood) specific conductivity (stem specific conductivity)	Plant Hydraulic Traits	Stefano	Manzoni	Stockholm University	
2460947	20011273	279	Acacia dealbata	146.6512	-43.0888	217		Plant functional type (PFT)	Global Respiration Database	Owen	Atkin	Australian National University	
2668290	23680157	279	Acacia dealbata	147	-42.4			Bark thickness	Dataset for Rosell et al. 2017 New Phytologist	Julieta	Rosell	Universidad Nacional Autonoma de México	
2460947	20011289	279	Acacia dealbata	146.6512	-43.0888	217		Leaf respiration rate in the dark per leaf dry mass	Global Respiration Database	Owen	Atkin	Australian National University	
2667646	23673111	279	Acacia dealbata	147	-42.4			Bark thickness (inner bark)	Dataset for Rosell 2016 New Phytologist	Julieta	Rosell	Universidad Nacional Autonoma de México	
2460947	20011299	279	Acacia dealbata	146.6512	-43.0888	217		Leaf nitrogen (N) content per leaf area	Global Respiration Database	Owen	Atkin	Australian National University	
2460947	20011278	279	Acacia dealbata	146.6512	-43.0888	217		Leaf photosynthesis rate per leaf area	Global Respiration Database	Owen	Atkin	Australian National University	
2460947	20011292	279	Acacia dealbata	146.6512	-43.0888	217		Leaf respiration rate in the dark per leaf dry mass	Global Respiration Database	Owen	Atkin	Australian National University	
2667646	23674470	279	Acacia dealbata	147	-42.4			Bark thickness	Dataset for Rosell 2016 New Phytologist	Julieta	Rosell	Universidad Nacional Autonoma de México	
2460947	20011302	279	Acacia dealbata	146.6512	-43.0888	217		Leaf photosynthesis carboxylation capacity (Vcmax) per leaf area (Farquhar model)	Global Respiration Database	Owen	Atkin	Australian National University	
2460947	20011282	279	Acacia dealbata	146.6512	-43.0888	217		Leaf respiration rate in the dark per leaf area	Global Respiration Database	Owen	Atkin	Australian National University	
2460947	20011295	279	Acacia dealbata	146.6512	-43.0888	217		Leaf respiration rate in the dark per leaf area	Global Respiration Database	Owen	Atkin	Australian National University	
